abandon  vt.丢弃；放弃，抛弃
aboard  ad.在船(车)上；上船
absolute  a.绝对的；纯粹的
absolutely  ad.完全地；绝对地
absorb  vt.吸收；使专心
abstract  n.摘要
abundant  a.丰富的；大量的
abuse  vt.滥用；虐待n.滥用
academic  a.学院的；学术的
accelerate  vt.(使)加快；促进
access  n.接近；通道，入口
accidental  a.偶然的；非本质的
accommodate  vt.容纳；供应，供给
accommodation  n.招待设备；预定铺位
accompany  vt.陪伴，陪同；伴随
accomplish  vt.达到(目的)；完成
accordance  n.一致；和谐；授予

accordingly  ad.因此，所以；照着
account  n.记述；解释；帐目
accumulate  vt.积累vi.堆积
accuracy  n.准确(性)；准确度
accurate  a.准确的，正确无误的
accustomed  a.惯常的；习惯的
acid  n.酸；酸的，酸性的
acquaintance  n.认识；了解；熟人
acquire   vt.取得；获得；学到
acre  n.英亩(=6.07 亩)
adapt  vt.使适应；改编
addition  n.加，加法；附加物
additional  a.附加的，追加的
address   n.地址；演说；谈吐
adequate  a.足够的；可以胜任的
adjust  vt.调整，调节；校正
administration   n.管理；管理部门
admission  n.允许进入；承认
admit  vt.承认；准许…进入

advance  vi.前进；提高n.进展
advanced  a.先进的；高级的
adventure  n.冒险；惊险活动
advisable  n.明智的；可取的
affair  n.事情，事件；事务
affect  vt.影响；感动
affection  n.慈爱，爱；爱慕
afford  vt.担负得起…；提供
afterward  ad.后来，以后
age  vt.变老
aggressive  a.侵略的；好斗的
aircraft  n.飞机，飞行器
alarm  n.惊恐，忧虑；警报
alcohol  n.酒精，乙醇
alike  a.同样的，相同的
alloy  n.合金；(金属的)成色
alphabet  n.字母表，字母系统
alter  vt.改变，变更；改做
alternative  n.替换物；取舍，抉择

altitude  n.高，高度；高处
aluminium  n.铝
amaze  vt.使惊奇，使惊愕
ambulance  n.救护车；野战医院
amongst  prep 在…之中(=among)
amuse  vt.逗…乐；给…娱乐
analyse  vt.分析，分解，解析
analysis  n.分析，分解，解析
ancestor  n.祖宗，祖先
anchor  n.锚vi.抛锚，停泊
ancient  a.古代的，古老的
ankle  n.踝，踝节部
announce  vt.宣布，宣告，发表
annoy  vt.使恼怒；打搅
annual  a.每年的n.年报
anticipate  vt.预料，预期，期望
anxiety  n.焦虑，忧虑；渴望
anxious  a.忧虑的；渴望的
