article  n.条款； 物品
artificial  a.人工的；娇揉造作的
artistic  a.艺术的；艺术家的
ash  n.灰，灰末；骨灰
ashamed  a.惭愧(的)；羞耻(的)
aspect  n.方面；样子，外表
assemble  vt.集合，召集；装配
assembly  n.集合；集会；装配
assess  vt.对(财产等)估价
assign  vt.指派；分配；指定
assist  vt.援助，帮助；搀扶
assistance  n.协助,援助
associate  vi.交往n.伙伴，同事
association  n.协会，团体；联合
assume  vt.假定；承担；呈现
ball  n.球，球状物；舞会
balloon  n.气球，玩具气球
banana  n.香蕉；芭蕉属植物
band  n.乐队；带；波段
bang  n.巨响，枪声；猛击
bank  n.银行；库；岩，堤
bar  n.酒吧间；条，杆；栅
barber  n.理发师
bare  a.赤裸的；仅仅的
bargain  n.交易vi.议价；成交
barrel  n.桶；圆筒；枪管
barrier  n.栅栏，屏障；障碍
base  n.基础，底层；基地
basic  a.基本的，基础的
low  a.低的，矮的；低下的
lower  a.较低的vt.放下
loyal  a.忠诚的，忠心的
loyalty  n.忠诚，忠心
luck  n.运气；好运，幸运
lucky  a.幸运的；吉祥的
luggage  n.行李；皮箱，皮包
lump  n.团，块；肿块
lunch  n.午餐，(美)便餐
lung  n.肺脏，肺
luxury  n.奢侈，奢华；奢侈品
machine  n.机器；机械
machinery  n.机器,机关,结构
mad  a.发疯的；恼火的
magazine  n.杂志，期刊
magic  n.魔法，巫术；戏法
magnet  n.磁铁，磁石，磁体
magnetic  a.磁的，有吸引力的
magnificent  n.壮丽的；华丽的
maid  n.女佣，女仆；少女
